"總目","帳目","分目(編號)","分目","項目(編號)","涵蓋的範圍","核准
承擔額
$'000","截至
31.3.2017止
的累積開支
$'000","2017-18
修訂預算開支
$'000","結餘
$'000"
"156","經營帳目","700","一般非經常開支","839","毅進文憑",1000000,375073,85000,539927
"156","經營帳目","700","一般非經常開支","840","電子教科書市場開拓計劃",50000,34905,1707,13388
"156","經營帳目","700","一般非經常開支","848","推行第四個資訊科技教育策略",105000,79337,18732,6931
"156","經營帳目","700","一般非經常開支","896","促進香港與內地姊妹學校交流試辦計劃",200000,51599,106927,41474
"156","經營帳目","700","一般非經常開支","917","推動中國歷史及文化的一筆過津貼",125000,0,116583,8417
"156","經營帳目","700","一般非經常開支","925","向中學發放一筆過津貼以推動科學、科技、工程和數學教育",102600,90600,2232,9768
"156","經營帳目","700","一般非經常開支","935","向香港特別行政區政府獎學基金注資",800000,0,0,800000
"156","經營帳目","700","一般非經常開支","987","資歷架構支援計劃 ",208000,185836,22162,2
"156","非經營帳目","871","職業訓練局","807","重整人力資源管理系統及薪酬系統",39480,0,0,39480
"156","非經營帳目","871","職業訓練局","895","網上學習平台及相關支援服務優化項目",9834,4659,2300,2875
"158","經營帳目","700","一般非經常開支","801","現代物流、港口後勤和車輛維修業用地需求研究",9100,0,0,9100
"158","經營帳目","700","一般非經常開支","807","海運及空運人才培訓基金",100000,26468,22570,50962
"158","經營帳目","700","一般非經常開支","884","三跑道系統計劃:詳細設計和施工階段的監察與核證顧問服務",184400,3765,16610,164025
"159","經營帳目","700","一般非經常開支","801","加強項目成本管理的顧問服務",10200,0,3410,6790
"159","經營帳目","700","一般非經常開支","818","加強建造業人力技術水平",100000,5951,12000,82049
"159","經營帳目","700","一般非經常開支","868","建造業人力方面的投資",320000,290245,12000,17755
"159","經營帳目","700","一般非經常開支","870","保育及活化歷史建築",200000,48332,12517,139151
"160","經營帳目","700","一般非經常開支","837","社區參與廣播基金",45000,17318,7000,20682
"160","非經營帳目","603","機器、車輛及設備","825","為香港電台數碼地面電視服務建設輔助發射站",64200,16812,13752,33636
"160","非經營帳目","603","機器、車輛及設備","899","提升數碼地面電視服務的製作設備",15530,6039,5773,3718
"166","非經營帳目","603","機器、車輛及設備","821","購置7架直昇機及相關的行動所需設備",2187500,617706,339051,1230743
"166","非經營帳目","603","機器、車輛及設備","869","更換2架定翼機及相關的行動所需設備",776000,758006,994,17000
"170","經營帳目","700","一般非經常開支","470","攜手扶弱基金",1200000,386689,50000,763311
