"","","分目(編號)","核准項目","核准項目預算
$’000","截至31.3.2017止的實際開支
$’000","2017–18修訂預算
$’000","2018–19預算
$’000"
"基礎建設","運輸－道路","7797TH","沙田新市鎮第2期－T4號主幹路的詳細設計及工地勘測","30600","17978","0","105"
"基礎建設","運輸－道路","7822TH","將軍澳跨灣連接路－建造工程","乙級工程","0","0","396298"
"基礎建設","運輸－道路","7841TH","T2主幹路－勘測和設計","133600","73106","3680","2830"
"基礎建設","運輸－道路","7842TH","荃灣繞道、擴闊荃青交匯處及葵青交匯處一段荃灣路，以及相關路口改善工程－詳細設計","46900","16787","400","500"
"基礎建設","運輸－道路","7861TH","大埔公路(沙田段)擴闊工程－建造工程","乙級工程","0","0","150000"
"基礎建設","運輸－道路","7862TH","將軍澳－藍田隧道－詳細設計及工地勘測","196000","138431","5590","5256"
"基礎建設","運輸－道路","7865TH","將軍澳跨灣連接路－詳細設計及工地勘測","68300","33645","9770","1600"
"基礎建設","運輸－道路","7869TH","大埔公路(沙田段)擴闊工程－詳細設計及地盤勘測","43200","10101","8710","1623"
"基礎建設","運輸－道路","7872TH","將軍澳－藍田隧道－主隧道及相關工程","15093500","500265","1500970","2817181"
"雜項","輔助設施－其他","7188GK","政府飛行服務隊啟德分部","乙級工程","0","0","24200"
"整體撥款","","7014CX","鄉郊小工程計劃","0","0","140000","140000"
"整體撥款","","7016CX","地區小型工程計劃","0","0","340000","340000"
"整體撥款","","7017CX","社區重點項目計劃","0","0","229","560"
"整體撥款","","7100CX","為工務計劃丁級工程項目進行新市鎮及市區工程、研究及勘測工作","0","0","141876","125780"
"完成、取消或削減的工程","","","","0","0","6521","0"
