"","","","分目(編號)","核准項目","核准項目預算
$’000","截至31.3.2017止的實際開支
$’000","2017–18修訂預算
$’000","2018–19預算
$’000"
"非經常資助金","資助金－雜項","","8026QW","活化計劃－活化舊牛奶公司高級職員宿舍為薄鳧林牧場－合約前顧問研究及小型勘測工程","5800","280","1408","1000"
"非經常資助金","資助金－雜項","","8027QW","活化計劃－活化何東夫人醫局為何東夫人醫局－生態研習中心－合約前顧問研究及小型勘測工程","3800","595","1005","600"
"非經常資助金","資助金－雜項","","8028QW","活化計劃－活化何東夫人醫局為何東夫人醫局－生態研習中心","乙級工程","0","0","4100"
"非經常資助金","資助金－雜項","","8029QW","活化計劃－活化書館街12號為大坑火龍文化館","乙級工程","0","0","3700"
"非經常資助金","資助金－雜項","","8030QW","活化計劃－活化舊牛奶公司高級職員宿舍為薄鳧林牧場","乙級工程","0","0","2400"
"主要系統設備","民航處","","8024XJ","衞星通訊、導航及監察／航空交通管理系統的研究和測試工作","233800","207585","1350","7761"
"主要系統設備","民航處","","8032XJ","更換航空交通管制系統","1565000","969948","14587","96232"
"主要系統設備","懲教署","","8028XL","在大欖女懲教所裝置電鎖保安系統","34995","1969","4250","3333"
"主要系統設備","懲教署","","8029XL","為赤柱監獄更換及提升閉路電視系統","162680","8643","13904","6667"
"主要系統設備","懲教署","","8033XL","在赤柱監獄裝置電鎖保安系統","765400","7000","8384","5667"
"主要系統設備","懲教署","","8035XL","為白沙灣懲教所及小欖精神病治療中心更換及提升閉路電視系統","51546","900","900","4200"
"主要系統設備","環境保護署","","8012XQ","空氣污染物立體監測系統","0","0","0","1000"
"主要系統設備","消防處","","8054XR","更換消防處調派及通訊系統","1713700","0","5840","210206"
"主要系統設備","食物環境衞生署","","8065VB","數碼化小販事務隊的無線電通訊系統","0","0","0","767"
"主要系統設備","香港天文台","","8025ZF","更新及提升香港國際機場氣象設備","154000","111284","15796","11874"
"主要系統設備","香港天文台","","8027ZF","更換位於大老山探測暴風雨的天氣雷達","36000","24257","3137","5737"
"主要系統設備","香港警務處","","8068YU","為刑事部設置新的無線電系統","198000","166302","2851","3600"
"主要系統設備","香港警務處","","8130YU","更換水警總區的數碼雷達保安系統","39785","1733","914","23130"
"主要系統設備","香港警務處","","8138YU","更換香港警務處指揮及控制通訊系統","855436","490","4390","82558"
"主要系統設備","香港警務處","","8140YU","推行海上形勢實時傳達系統","186335","0","197","6803"
"主要系統設備","廉政公署","","8020YG","更換執行處無線電通訊系統","78730","35777","21300","6267"
"主要系統設備","地政總署","","8048XF","更換航空相機系統","41580","27548","4041","6661"
"主要系統設備","康樂及文化事務署","","8034VA","為香港太空館設計及安裝整體展覽系統","32000","13737","12314","4127"
"主要系統設備","海事處","","8079YQ","更換／提升船隻航行監察服務系統","558200","234298","99602","163335"
"主要系統設備","海事處","","8088YQ","購置中地球軌道搜救衞星系統地面接收站","41400","3095","145","8000"
