"總目","綱領編號","綱領","機構","2015-16
(實際)
(百萬元)","2016-17
(原來預算)
(百萬元)","2016-17
(修訂)
(百萬元)","2017-18
(預算)
(百萬元)"
"140",2,"資助金：醫院管理局","",61548.9,51588.9,53426.6,55283.0
"140",3,"資助金：菲臘牙科醫院","",159.1,159.8,163.7,168.6
"141",1,"局長辦公室","",12.8,12.6,12.8,12.8
"141",2,"社會福利","",372.2,415.0,391.0,441.1
"141",3,"婦女權益","",27.9,33.0,32.0,35.3
"141",4,"人力發展","",29.8,35.6,33.5,40.7
"141",5,"資助金：展亮技能發展中心","",103.6,103.8,107.1,105.1
"141",6,"資助金：監護委員會及生活環境輔導服務","",7.2,7.4,7.5,8.7
"141",7,"資助金：職業訓練局（職業培訓）","",201.8,200.1,203.5,196.8
"142",1,"效率促進組","",215.8,234.6,228.9,237.8
"142",2,"政府檔案處","",58.2,66.6,68.8,64.8
"142",3,"政務司司長辦公室－行政署","",529.6,610.9,566.7,589.2
"142",4,"禮賓處","",43.1,45.9,50.4,102.2
"143",1,"局長辦公室","",7.2,7.2,7.4,7.4
"143",2,"人力資源管理","",266.4,290.7,294.8,301.5
"143",3,"翻譯和傳譯服務及法定語文的使用","",134.8,136.9,133.9,142.0
"143",4,"公務員培訓","",135.9,144.1,141.5,149.7
"144",1,"局長辦公室","",9.2,11.1,9.9,11.6
"144",2,"政制及內地事務","",113.0,108.6,111.2,113.3
"144",3,"內地及台灣辦事處","",256.6,283.9,279.4,354.6
"144",4,"個人權利","",26.6,25.1,25.4,27.0
"144",5,"資助金：平等機會委員會及個人資料私隱專員公署","個人資料私隱專員公署",73.5,72.3,74.8,76.1
"144",5,"資助金：平等機會委員會及個人資料私隱專員公署","平等機會委員會",105.7,107.0,107.2,115.5
"147",1,"局長辦公室","",14.2,14.1,14.2,14.3
"147",2,"政府收入及財政管理","",146.8,153.7,154.8,166.3
"147",3,"服務部門","",61.6,65.7,66.4,66.2
"148",1,"財經事務","",241.1,765.5,763.2,343.6
"151",1,"局長辦公室","",13.5,13.6,13.7,13.8
"151",2,"內部保安","",145.2,156.9,153.6,185.2
"151",3,"出入境管制","",176.8,310.1,235.1,407.6
"152",1,"局長辦公室","",12.2,12.3,12.4,12.5
"152",2,"工商業","",620.4,345.9,217.4,738.2
"152",3,"資助金：香港貿易發展局","",393.4,389.5,389.5,385.5
"152",4,"郵政、競爭政策及保障消費者權益","",9.4,9.0,9.4,9.8
"152",5,"資助金：消費者委員會","",109.1,108.3,115.4,106.6
"152",6,"旅遊","",191.7,267.5,227.3,239.4
"152",7,"資助金：香港旅遊發展局","",758.6,871.9,883.2,944.4
"152",8,"公眾安全","",0.5,0.5,0.5,0.5
"152",9,"資助金︰競爭事務委員會","",78.0,77.1,79.5,78.7
"155",1,"支援研究及發展","",99.2,55.0,52.3,55.5
"155",2,"鼓勵大學與產業合作","",6.5,6.9,7.2,7.4
"155",3,"推動科技創業活動","",10.4,21.6,19.7,22.5
"155",4,"規劃創新及科技發展","",36.4,42.2,46.5,55.8
"155",5,"基礎設施支援","",12.8,13.3,13.6,13.7
"155",6,"品質支援","",113.3,113.4,114.7,109.7
"155",7,"資助金：香港生產力促進局，香港應用科技研究院有限公司","香港應用科技研究院有限公司",141.5,140.0,140.0,143.6
"155",7,"資助金：香港生產力促進局，香港應用科技研究院有限公司","香港生產力促進局",197.7,195.9,200.9,213.0
"156",1,"局長辦公室","",12.3,12.4,12.7,12.7
"156",2,"學前教育","",3229.2,3484.3,3704.5,5282.2
"156",3,"小學教育","官立小學",1091.9,1177.1,1188.0,1217.9
"156",3,"小學教育","資助類別小學",14565.3,15205.4,15520.8,16149.9
"156",4,"中學教育","官立中學",1508.3,1601.8,1601.8,1610.1
"156",4,"中學教育","資助類別中學",23284.9,23501.0,24088.8,24341.9
"156",5,"特殊教育","",2190.0,2309.5,2324.1,2451.6
"156",6,"其他教育服務及資助","",784.2,902.7,1610.7,952.2
"156",7,"專上及職業專才教育","",3750.3,3006.5,2901.1,3390.9
"156",8,"政策及支援","",1870.1,1983.4,1855.3,1984.4
"158",1,"局長辦公室","",14.7,14.0,14.7,14.7
"158",2,"陸路及水上交通","",92.0,97.9,103.4,102.8
"158",3,"海空交通及物流發展","",99.5,166.9,130.4,162.9
"159",1,"水務","",22.9,11.3,17.2,32.1
"159",2,"文物保育","",47.6,59.3,53.8,75.5
"159",3,"綠化、園境及樹木管理","",46.6,53.1,46.6,51.8
"159",4,"起動九龍東","",28.7,33.4,34.6,39.0
"159",5,"政府內部服務","",292.1,259.8,267.8,307.3
"160",1,"電台","",354.1,385.5,398.1,400.1
"160",2,"公共事務及綜合電視節目","",416.2,523.7,513.8,520.7
"160",3,"學校教育電視節目","",32.1,33.9,34.7,29.6
"160",4,"新媒體","",38.5,35.3,42.6,44.8
"162",1,"法定估價及評估","",316.8,331.7,330.6,337.1
"162",2,"差餉與地租的徵收及發單","",63.7,65.4,66.6,67.3
"162",3,"提供估價及物業資料服務","",84.3,85.6,88.2,89.5
"162",4,"為業主與租客提供服務","",30.7,31.0,32.0,32.0
"163",1,"選舉事務","",479.9,1114.3,918.7,554.2
"166",1,"政府飛行服務","",1023.0,577.6,535.8,776.3
"168",1,"氣象服務","",241.9,250.3,255.2,258.9
"168",2,"輻射監測及評估","",27.9,29.4,30.1,32.1
"168",3,"時間標準及地球物理服務","",11.7,12.6,12.8,12.1
"169",1,"遵守有關截取通訊及監察的法例","",20.4,20.1,19.2,21.2
"170",1,"家庭及兒童福利","受資助機構",1730.3,1981.5,2095.5,2338.9
"170",1,"家庭及兒童福利","政府機構",1034.0,1081.7,1088.0,1106.0
"170",2,"社會保障","受資助機構",0.6,0.6,0.7,0.7
"170",2,"社會保障","政府機構",45080.0,43164.2,45706.2,52108.3
"170",3,"安老服務","受資助機構／私營機構",6426.5,6982.4,6864.5,7343.6
"170",3,"安老服務","政府機構",238.8,262.4,267.1,307.4
"170",4,"康復及醫務社會服務","受資助機構／私營機構",4962.9,5066.1,5328.4,5696.5
"170",4,"康復及醫務社會服務","政府機構",585.2,594.3,622.3,668.5
"170",5,"違法者服務","受資助機構",69.0,69.9,72.5,72.7
"170",5,"違法者服務","政府機構",281.4,304.6,296.6,300.2
"170",6,"社區發展","受資助機構",178.5,178.8,185.6,185.6
"170",6,"社區發展","政府機構",4.8,4.7,4.9,4.9
"170",7,"青少年服務","受資助機構",1808.2,1842.7,1919.5,1919.7
"170",7,"青少年服務","政府機構",82.7,97.9,96.6,98.2
"173",1,"學生資助計劃","",4759.7,5089.9,4692.1,4764.1
"173",2,"低收入在職家庭津貼","",98.2,3180.6,936.4,3433.8
"174",1,"為以下諮詢委員會提供秘書處服務－ ‧公務員薪俸及服務條件常務委員會 ‧紀律人員薪俸及服務條件常務委員會 ‧首長級薪俸及服務條件常務委員會 ‧司法人員薪俸及服務條件常務委員會 ‧離職公務員就業申請諮詢委員會","",30.7,29.2,30.4,33.1
"180",1,"評定影片級別、管制淫褻及不雅物品和報刊註冊","",44.1,46.9,47.2,48.3
"181",1,"對外貿易關係","",118.6,131.8,147.0,149.9
"181",2,"支援及促進貿易","",121.4,129.1,120.9,122.8
"181",3,"支援中小型企業及工業","",479.0,512.8,498.8,529.7
"186",1,"規劃及發展事宜","",383.6,414.8,395.1,446.3
"186",2,"簽發車輛牌照及駕駛執照","",356.7,394.1,376.7,379.9
"186",3,"區域交通及運輸服務","",483.2,478.1,456.9,478.3
"186",4,"運輸服務管理","",315.0,333.3,311.0,467.1
"186",5,"為殘疾人士提供的運輸服務和政府長者及合資格殘疾人士公共交通票價優惠計劃","",969.4,1238.2,1108.8,1325.7
"188",1,"中央會計、收款及付款","",137.2,135.4,136.8,142.2
"188",2,"發放薪金、退休金／撫恤金及福利","",118.2,118.7,122.3,124.5
"188",3,"會計及財務資料系統","",114.3,115.0,117.4,117.4
"188",4,"管理基金","",7.5,7.3,7.5,7.8
"190",1,"大學教育資助委員會","",17581.1,17966.1,18613.7,18661.7
"194",1,"供水：策劃及分配","",6999.1,7241.1,7265.1,7510.9
"194",2,"水質控制","",189.7,210.2,258.1,271.4
"194",3,"客戶服務","",470.1,472.6,478.7,499.8
